prompt,completion
北京新宇航测控科技股份有限公司的股东有哪些?,北京光之力新世纪科技发展中心(有限合伙)、马芳、张力、王淑娟
北京新宇航测控科技股份有限公司的公司地址？,"北京市海淀区,苏家坨镇,稻香湖加油站后院"
北京新宇航测控科技股份有限公司的证券代码是？,871157
北京新宇航测控科技股份有限公司的法人代表？,马芳
北京新宇航测控科技股份有限公司的中文简称？,新 宇 航
福建华夏金刚科技股份有限公司的股东有哪些?,德化县锦龙创业投资中心(有限合伙)、林宝明、林贵基、蓝天辉、苏忠振
福建华夏金刚科技股份有限公司的公司地址？,福建省德化县龙浔镇鹏祥工业区
福建华夏金刚科技股份有限公司的证券代码是？,871617
福建华夏金刚科技股份有限公司的法人代表？,林贵基
福建华夏金刚科技股份有限公司的中文简称？,华夏金刚
宁夏巨能机器人股份有限公司的股东有哪些?,宁夏共享集团股份有限公司、李志博、宋明安、孙洁、孙文靖
宁夏巨能机器人股份有限公司的公司地址？,宁夏回族自治区银川（国家级）经济技术开发区同心南街296号
宁夏巨能机器人股份有限公司的证券代码是？,871478
宁夏巨能机器人股份有限公司的法人代表？,孙文靖
宁夏巨能机器人股份有限公司的中文简称？,巨能股份
辽宁科宇机械装备制造股份有限公司的股东有哪些?,孙乃祥、陈玉兰、孙海涛、刘兆伟、刘瑞琴
辽宁科宇机械装备制造股份有限公司的公司地址？,辽宁省盘锦经济开发区石油高新技术产业园
辽宁科宇机械装备制造股份有限公司的证券代码是？,870058
辽宁科宇机械装备制造股份有限公司的法人代表？,孙乃祥
辽宁科宇机械装备制造股份有限公司的中文简称？,科宇股份
森霸传感科技股份有限公司的股东有哪些?,鹏威国际集团(香港)有限公司、天津嘉慧诚投资管理合伙企业(有限合伙)、深圳市盈贝投资发展有限公司、深圳市辰星投资发展有限公司、深圳市群拓投资发展有限公司、杨国忠
森霸传感科技股份有限公司的公司地址？,河南省南阳市社旗县城关镇
森霸传感科技股份有限公司的证券代码是？,300701
森霸传感科技股份有限公司的法人代表？,单森林
森霸传感科技股份有限公司的中文简称？,森霸传感
际华集团股份有限公司的股东有哪些?,国新投资有限公司、宁波梅山保税港区和盛乾通股权投资合伙企业(有限合伙)、中国证券金融股份有限公司、新兴际华集团有限公司、新兴铸管股份有限公司、北京诚通金控投资有限公司、中央汇金资产管理有限责任公司、南方500ETF、博时央企ETF
际华集团股份有限公司的公司地址？,北京市朝阳区东三环中路7号财富中心写字楼A座27层
际华集团股份有限公司的证券代码是？,601718
际华集团股份有限公司的法人代表？,李义岭
际华集团股份有限公司的中文简称？,际华集团
深圳石化工业集团股份有限公司的股东有哪些?,光大证券股份有限公司、深圳晶业塑胶有限公司、重庆新华信托投资股份有限公司、深圳市中联网信通科技有限公司、深圳市东方财富投资股份有限公司、招商证券股份有限公司、广州市普力奇通信投资有限公司、深圳市投资管理公司、南海东部石油经济技术开发总公司、泉州市阜康投资顾问有限公司
深圳石化工业集团股份有限公司的公司地址？,深圳市福田区深南中路2201号岗厦西嘉麟豪庭B座1701
深圳石化工业集团股份有限公司的证券代码是？,400032
深圳石化工业集团股份有限公司的法人代表？,厉怒江
深圳石化工业集团股份有限公司的中文简称？,石化Ａ１
经纬纺织机械股份有限公司的股东有哪些?,香港中央结算(代理人)有限公司、香港中央结算有限公司、中国纺织机械(集团)有限公司、中国恒天集团有限公司、中国恒天控股有限公司、中庚价值、江永忠
经纬纺织机械股份有限公司的公司地址？,北京市朝阳区亮马桥路39号第一上海中心七层
经纬纺织机械股份有限公司的证券代码是？,000666
经纬纺织机械股份有限公司的法人代表？,叶茂新
经纬纺织机械股份有限公司的中文简称？,经纬纺机
澳柯玛股份有限公司的股东有哪些?,青岛城投金融控股集团有限公司、青岛市企业发展投资有限公司、杜锦贤、王树先、毛路平、李科学、许志峰、王伟光、张薇、汤海贤
澳柯玛股份有限公司的公司地址？,青岛经济技术开发区前湾港路315号
澳柯玛股份有限公司的证券代码是？,600336
澳柯玛股份有限公司的法人代表？,李蔚
澳柯玛股份有限公司的中文简称？,澳 柯 玛
广东迪生力汽配股份有限公司的股东有哪些?,江门市鸿竔投资合伙企业(有限合伙)、江门力鸿投资有限公司、鹤山市粤骏投资有限公司、泰峰国际有限公司、江门市中高投资合伙企业(有限合伙)、力生国际有限公司、珠海经济特区凯达集团有限公司、汕头市日冠阳帆股权投资合伙企业(有限合伙)、红河州建水县康晟企业管理中心(有限合伙)
广东迪生力汽配股份有限公司的公司地址？,广东省江门市台山市西湖外商投资示范区
广东迪生力汽配股份有限公司的证券代码是？,603335
广东迪生力汽配股份有限公司的法人代表？,赵瑞贞
广东迪生力汽配股份有限公司的中文简称？,迪 生 力
北京和君恒成企业顾问股份有限公司的股东有哪些?,崇义和智投资中心(有限合伙)、崇义和畅投资中心(有限合伙)、崇义和远投资中心(有限合伙)、崇义和明投资中心(有限合伙)、蔡萌
北京和君恒成企业顾问股份有限公司的公司地址？,北京市朝阳区来广营西路5号望京诚盈中心2号楼4层4D
北京和君恒成企业顾问股份有限公司的证券代码是？,839279
北京和君恒成企业顾问股份有限公司的法人代表？,蔡萌
北京和君恒成企业顾问股份有限公司的中文简称？,和君恒成
深圳市长帆国际物流股份有限公司的股东有哪些?,深圳市帆海运通投资管理合伙企业(有限合伙)、深圳市天天运通投资管理合伙企业(有限合伙)、共青城速一通投资管理合伙企业(有限合伙)、共青城舱搜易投资管理合伙企业(有限合伙)、黄革忠、伍冬玲
深圳市长帆国际物流股份有限公司的公司地址？,深圳市罗湖区深南东路文华大厦西座12F
深圳市长帆国际物流股份有限公司的证券代码是？,839859
深圳市长帆国际物流股份有限公司的法人代表？,黄革忠
深圳市长帆国际物流股份有限公司的中文简称？,长帆国际
浙江华越设计股份有限公司的股东有哪些?,王芳、张矗、刘元、俞青
浙江华越设计股份有限公司的公司地址？,浙江省杭州市拱墅区蓝钻天成3幢901-908室
浙江华越设计股份有限公司的证券代码是？,839860
浙江华越设计股份有限公司的法人代表？,俞青
浙江华越设计股份有限公司的中文简称？,华越设计
浙江创源环境科技股份有限公司的股东有哪些?,上海槟果投资合伙企业(有限合伙)、创业慧康科技股份有限公司、陈晓军
浙江创源环境科技股份有限公司的公司地址？,浙江省嘉兴市南湖区凌公塘路3439号
浙江创源环境科技股份有限公司的证券代码是？,834269
浙江创源环境科技股份有限公司的法人代表？,陈晓军
浙江创源环境科技股份有限公司的中文简称？,创源环境
辽宁大金重工股份有限公司的股东有哪些?,阜新金胤能源投资有限公司、王久福、李亚梅、董安军、周丽荣、贾跃东、节洪臣、金鑫、孙晓乐
辽宁大金重工股份有限公司的公司地址？,辽宁省阜新市新邱区新邱大街155号
辽宁大金重工股份有限公司的证券代码是？,002487
辽宁大金重工股份有限公司的法人代表？,金鑫
辽宁大金重工股份有限公司的中文简称？,大金重工
广东邦宝益智玩具股份有限公司的股东有哪些?,邦领国际有限公司、汕头市中楷创业投资合伙企业(有限合伙)、揭阳市四方股权投资有限公司、汕头市和盛昌投资有限公司、汕头市邦领贸易有限公司、张锦旗、蔡伟娜、郑泳麟
广东邦宝益智玩具股份有限公司的公司地址？,广东省汕头市潮汕路金园工业城13-09片区
广东邦宝益智玩具股份有限公司的证券代码是？,603398
广东邦宝益智玩具股份有限公司的法人代表？,吴锭辉
广东邦宝益智玩具股份有限公司的中文简称？,邦宝益智
汉宇集团股份有限公司的股东有哪些?,江门市江海区神韵投资中心(有限合伙)、中央汇金资产管理有限责任公司、夏煜、蒋小荣、王大威、石华山、马春寿
汉宇集团股份有限公司的公司地址？,江门市高新技术开发区清澜路336号
汉宇集团股份有限公司的证券代码是？,300403
汉宇集团股份有限公司的法人代表？,石华山
汉宇集团股份有限公司的中文简称？,汉宇集团
北京蓝卡科技股份有限公司的股东有哪些?,林兴央、尹久春、庄明华、葛忠泽、李晓华
北京蓝卡科技股份有限公司的公司地址？,北京市海淀区东北旺中关村软件园信息中心A306
北京蓝卡科技股份有限公司的证券代码是？,834515
北京蓝卡科技股份有限公司的法人代表？,庄明华
北京蓝卡科技股份有限公司的中文简称？,蓝卡科技
无锡市太极实业股份有限公司的股东有哪些?,无锡产业发展集团有限公司、无锡市金融投资有限责任公司、香港中央结算有限公司、国家集成电路产业投资基金股份有限公司、无锡创业投资集团有限公司、成都成达工程有限公司、无锡市建设发展投资有限公司、苏州国际发展集团有限公司、赵振元
无锡市太极实业股份有限公司的公司地址？,江苏省无锡市梁溪区兴源北路401号21层
无锡市太极实业股份有限公司的证券代码是？,600667
无锡市太极实业股份有限公司的法人代表？,赵振元
无锡市太极实业股份有限公司的中文简称？,太极实业
倍加洁集团股份有限公司的股东有哪些?,秦皇岛宏兴钢铁有限公司、扬州竟成企业管理咨询合伙企业(有限合伙)、扬州和成企业管理咨询合伙企业(有限合伙)、张文生、冯雪莲、刘丽丽、陈丙胜、彭崇勃
倍加洁集团股份有限公司的公司地址？,江苏省扬州市广陵区杭集工业园
倍加洁集团股份有限公司的证券代码是？,603059
倍加洁集团股份有限公司的法人代表？,张文生
倍加洁集团股份有限公司的中文简称？,倍 加 洁
北京高盟新材料股份有限公司的股东有哪些?,青岛高盟投资有限公司、高金技术产业集团有限公司、武汉汇森投资有限公司、广州诚信投资控股有限公司、谢仁国、胡余友、唐小林、王子平
北京高盟新材料股份有限公司的公司地址？,北京市房山区燕山东流水工业区14号
北京高盟新材料股份有限公司的证券代码是？,300200
北京高盟新材料股份有限公司的法人代表？,何宇飞
北京高盟新材料股份有限公司的中文简称？,高盟新材
北京前沿信安科技股份有限公司的股东有哪些?,王飞、张继军
北京前沿信安科技股份有限公司的公司地址？,北京市海淀区海淀苏州街18号院-2楼1208室
北京前沿信安科技股份有限公司的证券代码是？,870888
北京前沿信安科技股份有限公司的法人代表？,王飞
北京前沿信安科技股份有限公司的中文简称？,前沿信安
洛阳栾川钼业集团股份有限公司的股东有哪些?,HKSCC NOMINEES LIMITED、中国国有企业结构调整基金股份有限公司、嘉兴民琉投资合伙企业(有限合伙)、香港中央结算有限公司、宁波杉杉创业投资有限公司、洛阳矿业集团有限公司、鸿商产业控股集团有限公司、全国社保基金102组合
洛阳栾川钼业集团股份有限公司的公司地址？,河南省洛阳市栾川县城东新区画眉山路伊河以北
洛阳栾川钼业集团股份有限公司的证券代码是？,603993
洛阳栾川钼业集团股份有限公司的法人代表？,李朝春
洛阳栾川钼业集团股份有限公司的中文简称？,洛阳钼业
江苏兴农环保科技股份有限公司的股东有哪些?,黄健斌、肖林松、邱建兴、张静、花志华
江苏兴农环保科技股份有限公司的公司地址？,江苏省海门市海门街道北海东路179号
江苏兴农环保科技股份有限公司的证券代码是？,834450
江苏兴农环保科技股份有限公司的法人代表？,邱建兴
江苏兴农环保科技股份有限公司的中文简称？,ST 兴 农
江苏银河电子股份有限公司的股东有哪些?,银河电子集团投资有限公司、中兵投资管理有限责任公司、张家港汇智企业管理合伙企业(有限合伙)、江苏银河电子股份有限公司回购专用证券账户、张桂英、张恕华、林增佛、张红、林超
江苏银河电子股份有限公司的公司地址？,江苏省张家港市塘桥镇南环路188号
江苏银河电子股份有限公司的证券代码是？,002519
江苏银河电子股份有限公司的法人代表？,张红
江苏银河电子股份有限公司的中文简称？,银河电子
上海上亿传媒股份有限公司的股东有哪些?,马骏、周岭、沈君伟
上海上亿传媒股份有限公司的公司地址？,上海市徐汇区漕宝路80号光大会展中心D座1205室
上海上亿传媒股份有限公司的证券代码是？,834992
上海上亿传媒股份有限公司的法人代表？,周岭
上海上亿传媒股份有限公司的中文简称？,上亿传媒
内蒙古云科数据服务股份有限公司的股东有哪些?,内蒙古云科一众(集团)有限公司、景伟
内蒙古云科数据服务股份有限公司的公司地址？,内蒙古自治区呼和浩特市新城区东二环东河湾兴泰商务广场T4写字楼9楼
内蒙古云科数据服务股份有限公司的证券代码是？,873043
内蒙古云科数据服务股份有限公司的法人代表？,景伟
内蒙古云科数据服务股份有限公司的中文简称？,云科数据
携泰健康科技股份有限公司的股东有哪些?,汤臣倍健股份有限公司、颜壮、黄霞
携泰健康科技股份有限公司的公司地址？,安徽省合肥市新站区新海大道488号
携泰健康科技股份有限公司的证券代码是？,833669
携泰健康科技股份有限公司的法人代表？,颜壮
携泰健康科技股份有限公司的中文简称？,携泰健康
浙江湖州金洁水务股份有限公司的股东有哪些?,湖州市织里镇资产经营有限公司、湖州织里产业投资运营集团有限公司、湖州金洁实业有限公司、郑发明、郑莹缀文
浙江湖州金洁水务股份有限公司的公司地址？,浙江省湖州市织里镇中华西路111号
浙江湖州金洁水务股份有限公司的证券代码是？,871936
浙江湖州金洁水务股份有限公司的法人代表？,郑莹缀文
浙江湖州金洁水务股份有限公司的中文简称？,金洁水务
广东银禧科技股份有限公司的股东有哪些?,银禧集团有限公司、石河子市瑞晨股权投资合伙企业(有限合伙)、新余德康投资管理有限公司、吴银河、陈庆良、许灵波、陈智勇、谭颂斌
广东银禧科技股份有限公司的公司地址？,东莞市道滘镇南阁工业区银禧工程塑料(东莞)有限公司
广东银禧科技股份有限公司的证券代码是？,300221
广东银禧科技股份有限公司的法人代表？,谭颂斌
广东银禧科技股份有限公司的中文简称？,银禧科技
江苏骅盛车用电子股份有限公司的股东有哪些?,昆山凯歌创业投资有限公司
江苏骅盛车用电子股份有限公司的公司地址？,江苏省昆山市张浦镇花苑路600号
江苏骅盛车用电子股份有限公司的证券代码是？,838437
江苏骅盛车用电子股份有限公司的法人代表？,陈宏钦
江苏骅盛车用电子股份有限公司的中文简称？,骅盛车电
山东儒房融科网络科技股份有限公司的股东有哪些?,临沂兰山区财富共赢企业管理中心(有限合伙)、北京运胜旭日投资基金管理中心(有限合伙)、山东容客文化传播有限公司、孙亚奎、李振、徐永峰、李文峰、王秋、陈涛
山东儒房融科网络科技股份有限公司的公司地址？,山东省临沂市兰山区北城新区广州路与孝河路鲁商中心A3号楼501室
山东儒房融科网络科技股份有限公司的证券代码是？,870567
山东儒房融科网络科技股份有限公司的法人代表？,郑淑全
山东儒房融科网络科技股份有限公司的中文简称？,儒房融科
南国置业股份有限公司的股东有哪些?,中国电建地产集团有限公司、渤海国际信托股份有限公司、武汉新天地投资有限公司、中国银河证券股份有限公司、许晓明、黄林祥、尹光华
南国置业股份有限公司的公司地址？,武汉市武昌区昙华林路202号
南国置业股份有限公司的证券代码是？,002305
南国置业股份有限公司的法人代表？,秦普高
南国置业股份有限公司的中文简称？,南国置业
株洲田龙铁道电气股份有限公司的股东有哪些?,陈学民、陈学军、郭照华、田磊、汤清平
株洲田龙铁道电气股份有限公司的公司地址？,湖南省株洲市天元区仙月环路899号新马动力创新园3.2期G1栋
株洲田龙铁道电气股份有限公司的证券代码是？,839663
株洲田龙铁道电气股份有限公司的法人代表？,田磊
株洲田龙铁道电气股份有限公司的中文简称？,田龙电气
方正证券股份有限公司的股东有哪些?,乐山国有资产投资运营(集团)有限公司、中国证券金融股份有限公司、香港中央结算有限公司、北京政泉控股有限公司、哈尔滨哈投投资股份有限公司、方正产业控股有限公司、中央汇金资产管理有限责任公司、北大方正集团有限公司、国泰证券ETF
方正证券股份有限公司的公司地址？,湖南省长沙市天心区湘江中路二段36号华远华中心4、5号楼3701-3717
方正证券股份有限公司的证券代码是？,601901
方正证券股份有限公司的法人代表？,施华
方正证券股份有限公司的中文简称？,方正证券
大恒新纪元科技股份有限公司的股东有哪些?,陈丹英、郑素贞、陈定华、吴立新、王龙海、陈志伟、刘永、任奇峰
大恒新纪元科技股份有限公司的公司地址？,北京市海淀区苏州街3号大恒科技大厦北座15层
大恒新纪元科技股份有限公司的证券代码是？,600288
大恒新纪元科技股份有限公司的法人代表？,鲁勇志
大恒新纪元科技股份有限公司的中文简称？,大恒科技
中国医药健康产业股份有限公司的股东有哪些?,中国通用技术(集团)控股有限责任公司、香港中央结算有限公司、上海汽车集团股权投资有限公司、中央汇金资产管理有限责任公司、通用技术集团医药控股有限公司、通用天方药业集团有限公司、南方500ETF
中国医药健康产业股份有限公司的公司地址？,北京市东城区光明中街18号
中国医药健康产业股份有限公司的证券代码是？,600056
中国医药健康产业股份有限公司的法人代表？,高渝文
中国医药健康产业股份有限公司的中文简称？,中国医药
深圳市蛇口船务运输股份有限公司的股东有哪些?,深圳市润洋投资有限公司、郑仕南、魏奕辉、廖卫光、俞永华
深圳市蛇口船务运输股份有限公司的公司地址？,深圳市南山区蛇口龟山路明华中心二号楼C909-11
深圳市蛇口船务运输股份有限公司的证券代码是？,836076
深圳市蛇口船务运输股份有限公司的法人代表？,郑仕南
深圳市蛇口船务运输股份有限公司的中文简称？,蛇口船务
苏州欧康诺电子科技股份有限公司的股东有哪些?,赵铭、隆元彬、童树娟
苏州欧康诺电子科技股份有限公司的公司地址？,苏州市吴中区吴中大道2588号C18幢
苏州欧康诺电子科技股份有限公司的证券代码是？,870433
苏州欧康诺电子科技股份有限公司的法人代表？,赵铭
苏州欧康诺电子科技股份有限公司的中文简称？,欧 康 诺
厦门市海德龙电子股份有限公司的股东有哪些?,厦门市蚂蚁宝投资管理合伙企业(有限合伙)、周海明
厦门市海德龙电子股份有限公司的公司地址？,厦门火炬高新区翔安产业区二期通用厂房D3幢5单元
厦门市海德龙电子股份有限公司的证券代码是？,834954
厦门市海德龙电子股份有限公司的法人代表？,周海明
厦门市海德龙电子股份有限公司的中文简称？,海 德 龙
中国石油化工股份有限公司的股东有哪些?,国新投资有限公司、中国证券金融股份有限公司、国泰君安证券股份有限公司、香港中央结算(代理人)有限公司、香港中央结算有限公司、中国石油化工集团有限公司、北京诚通金控投资有限公司、中央汇金资产管理有限责任公司
中国石油化工股份有限公司的公司地址？,中国北京市朝阳区朝阳门北大街22号
中国石油化工股份有限公司的证券代码是？,600028
中国石油化工股份有限公司的法人代表？,戴厚良
中国石油化工股份有限公司的中文简称？,中国石化
北京京西文化旅游股份有限公司的股东有哪些?,石河子无极股权投资合伙企业(有限合伙)、西藏金宝藏文化传媒有限公司、中国华力控股集团有限公司、新疆嘉梦股权投资合伙企业(有限合伙)、富德生命人寿保险股份有限公司、西藏九达投资管理有限公司、全国社保基金110组合、沈奇辉
北京京西文化旅游股份有限公司的公司地址？,北京市朝阳区望京街1号C楼
北京京西文化旅游股份有限公司的证券代码是？,000802
北京京西文化旅游股份有限公司的法人代表？,宋歌
北京京西文化旅游股份有限公司的中文简称？,北京文化
山西鼎隆智装科技股份有限公司的股东有哪些?,太原科创嘉德创业投资中心(有限合伙)、山西佳泰洪福能源集团股份有限公司、鄂殊男、于鹏云、张克敏
山西鼎隆智装科技股份有限公司的公司地址？,山西综改示范区太原学府园区南中环街529号清华科技园D座23层07-09
山西鼎隆智装科技股份有限公司的证券代码是？,833349
山西鼎隆智装科技股份有限公司的法人代表？,鄂殊男
山西鼎隆智装科技股份有限公司的中文简称？,鼎隆智装
福建省意达科技股份有限公司的股东有哪些?,徐雪梅、彭进水、黄建远、黄彦、蔡巍
福建省意达科技股份有限公司的公司地址？,福建省仙游县赖店镇土山村南丰中街518号
福建省意达科技股份有限公司的证券代码是？,873089
福建省意达科技股份有限公司的法人代表？,徐雪梅
福建省意达科技股份有限公司的中文简称？,意达科技
炼石航空科技股份有限公司的股东有哪些?,四川富润企业重组投资有限责任公司、四川发展国瑞矿业投资有限公司、咸阳市能源开发投资有限公司、全国社保基金四一四组合、张政
炼石航空科技股份有限公司的公司地址？,陕西省咸阳市西咸新区世纪大道55号启迪科技会展中心1602室
炼石航空科技股份有限公司的证券代码是？,000697
炼石航空科技股份有限公司的法人代表？,张政
炼石航空科技股份有限公司的中文简称？,炼石航空
上海手乐电子商务股份有限公司的股东有哪些?,上海弗元投资管理中心(有限合伙)、上海克恩顿创业投资中心(有限合伙)、杭州赛富丽元创业投资合伙企业(有限合伙)、上海光竹创业投资中心(有限合伙)、东方证券股份有限公司
上海手乐电子商务股份有限公司的公司地址？,上海市静安区广中西路777弄99号江裕大厦13楼
上海手乐电子商务股份有限公司的证券代码是？,835491
上海手乐电子商务股份有限公司的法人代表？,吴滋峰
上海手乐电子商务股份有限公司的中文简称？,手乐电商
华艺生态园林股份有限公司的股东有哪些?,上海槟果资产管理有限公司、安徽安粮控股股份有限公司、合肥钟灵毓秀投资管理有限公司、安徽安华基金投资有限公司、安徽祯瑞能节能环保产业投资合伙企业(有限合伙)、仁重股权投资(上海)有限公司、安徽鼎信创业投资有限公司、胡优华、范丽霞
华艺生态园林股份有限公司的公司地址？,安徽省合肥市高新区红枫路7号富邻广场B座12楼
华艺生态园林股份有限公司的证券代码是？,430459
华艺生态园林股份有限公司的法人代表？,胡优华
华艺生态园林股份有限公司的中文简称？,华艺园林
贵阳新天药业股份有限公司的股东有哪些?,武汉惠人生物创业投资基金中心(有限合伙)、贵阳开元生物资源开发有限公司、贵阳新天生物技术开发有限公司、贵阳甲秀创业投资中心(有限合伙)、张全槐、王金华、董大朝、沈娟娟
贵阳新天药业股份有限公司的公司地址？,贵州省贵阳国家高新技术产业开发区新添大道114号
贵阳新天药业股份有限公司的证券代码是？,002873
贵阳新天药业股份有限公司的法人代表？,董大伦
贵阳新天药业股份有限公司的中文简称？,新天药业
广东冠豪高新技术股份有限公司的股东有哪些?,广州润华置业有限公司、广东粤财实业发展有限公司、中国纸业投资有限公司、甘肃省农垦资产经营有限公司、广东粤财创业投资有限公司、广东冠豪高新技术股份有限公司回购专用证券账户、博时央企ETF、周峰、乔通、蒋艳菊
广东冠豪高新技术股份有限公司的公司地址？,湛江市东海岛东海大道313号
广东冠豪高新技术股份有限公司的证券代码是？,600433
广东冠豪高新技术股份有限公司的法人代表？,钟天崎
广东冠豪高新技术股份有限公司的中文简称？,冠豪高新
浙江锋龙电气股份有限公司的股东有哪些?,宁波哥特投资合伙企业(有限合伙)、绍兴诚锋实业有限公司、桐庐浙富桐君股权投资基金合伙企业(有限合伙)、绍兴上虞威龙科技有限公司、厉彩霞、董剑刚、李中、雷德友、卢国华
浙江锋龙电气股份有限公司的公司地址？,浙江省绍兴市上虞区梁湖工业园区倪禄路5号
浙江锋龙电气股份有限公司的证券代码是？,002931
浙江锋龙电气股份有限公司的法人代表？,董剑刚
浙江锋龙电气股份有限公司的中文简称？,锋龙股份
桂林西麦食品股份有限公司的股东有哪些?,Cassia Nutrition Limited、隆化县铜麦企业管理咨询中心(有限合伙)、桂林西麦阳光投资有限公司、Black River Food 2 Pte. Ltd、广西贺州世家投资有限公司、Seamild Enterprises Group (Aust.) Pty. Ltd、谢世谊、谢玉菱
桂林西麦食品股份有限公司的公司地址？,桂林市高新技术开发区九号小区
桂林西麦食品股份有限公司的证券代码是？,002956
桂林西麦食品股份有限公司的法人代表？,谢庆奎
桂林西麦食品股份有限公司的中文简称？,西麦食品
苏州迈为科技股份有限公司的股东有哪些?,苏州金茂新兴产业创业投资企业(有限合伙)、吴江东运创业投资有限公司、苏州市吴江创迅创业投资有限公司、苏州市吴江创业投资有限公司、苏州迈拓投资中心(有限合伙)、上海浩视仪器科技有限公司、嘉实环保、王正根、周剑、施政辉
苏州迈为科技股份有限公司的公司地址？,苏州市吴江经济开发区庞金路1801号庞金工业坊D02幢
苏州迈为科技股份有限公司的证券代码是？,300751
苏州迈为科技股份有限公司的法人代表？,周剑
苏州迈为科技股份有限公司的中文简称？,迈为股份
惠州光弘科技股份有限公司的股东有哪些?,深圳市汇银富成九号投资合伙企业(有限合伙)、深圳市国宏股权投资合伙企业(有限合伙)、深圳市宏祥投资咨询合伙企业(有限合伙)、珠海乾亨投资管理有限公司、光弘投资有限公司、富国国家、苏志彪、朱建军
惠州光弘科技股份有限公司的公司地址？,惠州市大亚湾响水河工业园永达路5号
惠州光弘科技股份有限公司的证券代码是？,300735
惠州光弘科技股份有限公司的法人代表？,唐建兴
惠州光弘科技股份有限公司的中文简称？,光弘科技
浙江中马传动股份有限公司的股东有哪些?,中马集团有限公司、温岭中泰投资有限公司、刘青林、吴江、吴良行、高奇、黄军辉、齐子坤、张春生
浙江中马传动股份有限公司的公司地址？,浙江省温岭市石塘镇上马工业区经一路1号
浙江中马传动股份有限公司的证券代码是？,603767
浙江中马传动股份有限公司的法人代表？,吴江
浙江中马传动股份有限公司的中文简称？,中马传动
湖南农商通电子商务股份有限公司的股东有哪些?,邵商投资有限公司、李乐安、邓南方、张庆、徐卫东
湖南农商通电子商务股份有限公司的公司地址？,长沙市望城区金桥国际未来城3楼
湖南农商通电子商务股份有限公司的证券代码是？,835021
湖南农商通电子商务股份有限公司的法人代表？,付东哲
湖南农商通电子商务股份有限公司的中文简称？,农 商 通
明游天下国际旅游投资(北京)股份有限公司的股东有哪些?,重庆东证怀新股权投资基金合伙企业(有限合伙)、庄玉华、白明、赖汉宣、朱渊哲
明游天下国际旅游投资(北京)股份有限公司的公司地址？,北京市西城区闹市口大街长安兴融中心1号院3号楼614室
明游天下国际旅游投资(北京)股份有限公司的证券代码是？,833935
明游天下国际旅游投资(北京)股份有限公司的法人代表？,白明
明游天下国际旅游投资(北京)股份有限公司的中文简称？,明游天下
杰克缝纫机股份有限公司的股东有哪些?,LAKE VILLAGE LIMITED、台州市杰克投资有限公司、台州市椒江迅轮企业管理咨询有限公司、国泰基金管理有限公司-社保基金1102组合、大成基金管理有限公司-社保基金1101组合、大成创新、阮积祥
杰克缝纫机股份有限公司的公司地址？,浙江省台州市椒江区机场南路15号
杰克缝纫机股份有限公司的证券代码是？,603337
杰克缝纫机股份有限公司的法人代表？,赵新庆
杰克缝纫机股份有限公司的中文简称？,杰克股份
四川东方水利智能装备工程股份有限公司的股东有哪些?,四川银东方投资管理合伙企业(有限合伙)、四川金东方投资管理合伙企业(有限合伙)、董利民、周文荣、贺伟、陈启东、陈启春、李平、丁光艳
四川东方水利智能装备工程股份有限公司的公司地址？,四川省德阳市经济技术开发区燕山路398号
四川东方水利智能装备工程股份有限公司的证券代码是？,832075
四川东方水利智能装备工程股份有限公司的法人代表？,陈启春
四川东方水利智能装备工程股份有限公司的中文简称？,东方智能
无锡汉咏科技股份有限公司的股东有哪些?,吴安勇、张浩、郑永晖、朱星海
无锡汉咏科技股份有限公司的公司地址？,江苏省无锡菱湖大道200号中国传感网国际创新园G1栋608室
无锡汉咏科技股份有限公司的证券代码是？,831007
无锡汉咏科技股份有限公司的法人代表？,郑永晖
无锡汉咏科技股份有限公司的中文简称？,ST 汉 咏
中节能风力发电股份有限公司的股东有哪些?,中国节能环保集团有限公司、中国证券金融股份有限公司、国开金融有限责任公司、广西铁路发展投资基金(有限合伙)、香港中央结算有限公司、华宝信托有限责任公司、全国社会保障基金理事会、南方500ETF、金玉平
中节能风力发电股份有限公司的公司地址？,北京市海淀区西直门北大街42号节能大厦A座11层、12层
中节能风力发电股份有限公司的证券代码是？,601016
中节能风力发电股份有限公司的法人代表？,刘斌
中节能风力发电股份有限公司的中文简称？,节能风电
广州华腾教育科技股份有限公司的股东有哪些?,广东腾润投资有限公司、张彤、洪锐滨、邱季壮、钦培英、黄秀芬、熊小?、冯翠琴、梁建华
广州华腾教育科技股份有限公司的公司地址？,广州市越秀区先烈中路75号自编A218号
广州华腾教育科技股份有限公司的证券代码是？,834845
广州华腾教育科技股份有限公司的法人代表？,熊小?
广州华腾教育科技股份有限公司的中文简称？,华腾教育
新疆天山水泥股份有限公司的股东有哪些?,香港中央结算有限公司、中央汇金资产管理有限责任公司、中国中材股份有限公司、全国社保基金四一二组合、南方500ETF、华泰增强A、富国500
新疆天山水泥股份有限公司的公司地址？,乌鲁木齐市河北东路1256号天合大厦
新疆天山水泥股份有限公司的证券代码是？,000877
新疆天山水泥股份有限公司的法人代表？,赵新军
新疆天山水泥股份有限公司的中文简称？,天山股份
